0x00403810    2 92           entry0
0x00411d88    4 120          sym.get_cpu_usage
0x004083d4   13 484          sym.getfile
0x0040a2e0   11 432          sym.create_ice_send_buf
0x004163d0    1 16           fcn.004163d0
0x004064c4    4 168          sym.session_description_append_newline
0x00416a00    1 16           fcn.00416a00
0x00416a70    1 16           fcn.00416a70
0x00416880    1 16           fcn.00416880
0x0040656c    4 168          sym.session_description_append
0x00405e3c    1 12           sym.peer_connection_on_connected
0x00407e7c   20 1036         sym.get_cxy_ice
0x004114ac   13 544          sym.start_memory_monitor
0x004055d8    6 320          sym.peer_connection_create
0x004160c0    1 16           fcn.004160c0
0x004048a8    3 124          sym.nice_agent_bio_new
0x00416190    1 16           fcn.00416190
0x00406360    3 64           sym.session_description_create
0x0040d1cc    1 12           sym.get_webrtc_data
0x004162d0    1 16           fcn.004162d0
0x00405544   13 148          sym.peer_connection_destroy
0x00405e48    1 12           sym.peer_connection_on_receiver_packet_loss
0x00406d00    3 32           sym.signaling_dispatch
0x0040a2d0    1 8            sym.signaling_wsocket_dispatch
0x004164b0    1 16           fcn.004164b0
0x00416620    1 16           fcn.00416620
0x00406d40    1 12           sym.signaling_on_call_event
0x00411e00   12 660          sym.start_cpu_monitor
0x00412478    2 16440 -> 24   sym.log_exit
0x004046e0    3 24           sym.media_stream_free
0x0040fc10   25 896          sym.webrtc_shm_deinit
0x00405784   25 700          sym.peer_connection_set_remote_description
0x004040dc    1 60           sym.dtls_transport_do_handshake
0x00416940    1 16           fcn.00416940
0x00416610    1 16           fcn.00416610
0x0040bb20   11 280          sym.utils_get_ipv4addr
0x00408ad8    1 48           sym.get_cxy_iceserver_infor
0x00412488    2 16472 -> 24   sym.log_set_level
0x00410f4c    3 168          sym.webrtc_ipcsem_timewait
0x00416b20    1 16           fcn.00416b20
0x00405f4c   16 372          sym.get_ready_pc
0x00405e90    5 124          sym.peer_connection_get_ssrc
0x00416900    1 16           fcn.00416900
0x00411054    4 23996 -> 40   sym.webrtc_ipcsem_del
0x00405e78    1 24           sym.peer_connection_add_transceiver
0x00406d20    3 32           sym.signaling_shutdown
0x0040a2d8    1 8            sym.signaling_wsocket_shutdown
0x0040553c    1 8            sym.peer_connection_enable_mdns
0x00412200    1 176          sym.h264_packetizer_create
0x00416e50    1 16           fcn.00416e50
0x00407214    1 20           sym.HAL_getHost
0x0040720c    1 8            sym.HAL_get_envid
0x00408aac    4 44           sym.GetRegisterInfoFromFile
0x00410164   10 488          sym.webrtc_fifo_deinit
0x0040a490   18 1192         sym.signaling_wsocket_set_answer
0x004092c0    1 104          sym.cxy_signal_start
0x0040e8ec    3 24           sym.release_pc_session
0x00411908   12 760          sym.cpu_monitor
0x00416f40    1 16           fcn.00416f40
0x00416490    1 16           fcn.00416490
0x004060c0    1 76           sym.pc_management
0x004169e0    1 16           fcn.004169e0
0x00405e60    1 12           sym.peer_connection_oniceconnectionstatechange
