
Relocation section '.rel.dyn' at offset 0x1810 contains 4 entries:
 Offset     Info    Type            Sym.Value  Sym. Name
00000000  00000000 R_MIPS_NONE      
00425b00  0000137e R_MIPS_COPY       00425b00   stderr@GLIBC_2.0
00425b04  00005b7e R_MIPS_COPY       00425b04   stdout@GLIBC_2.0
00425b08  0000807e R_MIPS_COPY       00425b08   optarg@GLIBC_2.0

Relocation section '.rel.plt' at offset 0x1830 contains 125 entries:
 Offset     Info    Type            Sym.Value  Sym. Name
004259c4  0000487f R_MIPS_JUMP_SLOT  004154f0   __libc_start_main@GLIBC_2.0
004259c8  0000497f R_MIPS_JUMP_SLOT  00000000   pthread_attr_init@GLIBC_2.2
004259cc  00004a7f R_MIPS_JUMP_SLOT  00000000   fprintf@GLIBC_2.0
004259d0  00004b7f R_MIPS_JUMP_SLOT  00000000   write@GLIBC_2.0
004259d4  00004d7f R_MIPS_JUMP_SLOT  00000000   cJSON_GetArrayItem
004259d8  00004e7f R_MIPS_JUMP_SLOT  00000000   bind@GLIBC_2.0
004259dc  00004f7f R_MIPS_JUMP_SLOT  00000000   __isoc99_sscanf@GLIBC_2.7
004259e0  0000507f R_MIPS_JUMP_SLOT  00000000   memset@GLIBC_2.0
004259e4  0000517f R_MIPS_JUMP_SLOT  00000000   fcntl@GLIBC_2.28
004259e8  0000527f R_MIPS_JUMP_SLOT  00000000   mkdir@GLIBC_2.0
004259ec  0000537f R_MIPS_JUMP_SLOT  00000000   snprintf@GLIBC_2.0
004259f0  0000547f R_MIPS_JUMP_SLOT  00000000   ftruncate@GLIBC_2.0
004259f4  0000567f R_MIPS_JUMP_SLOT  00000000   __errno_location@GLIBC_2.0
004259f8  0000577f R_MIPS_JUMP_SLOT  00000000   strncpy@GLIBC_2.0
004259fc  0000587f R_MIPS_JUMP_SLOT  00000000   fileno@GLIBC_2.0
00425a00  0000597f R_MIPS_JUMP_SLOT  00000000   prctl@GLIBC_2.0
00425a04  00005a7f R_MIPS_JUMP_SLOT  00000000   access@GLIBC_2.0
00425a08  00005c7f R_MIPS_JUMP_SLOT  00000000   sem_open@GLIBC_2.2
00425a0c  00005e7f R_MIPS_JUMP_SLOT  00000000   vsprintf@GLIBC_2.0
00425a10  00005f7f R_MIPS_JUMP_SLOT  00000000   pthread_attr_sets[...]@GLIBC_2.3.3
00425a14  0000607f R_MIPS_JUMP_SLOT  00000000   shm_unlink@GLIBC_2.2
00425a18  0000617f R_MIPS_JUMP_SLOT  00000000   epoll_wait@GLIBC_2.3.2
00425a1c  0000627f R_MIPS_JUMP_SLOT  00000000   munmap@GLIBC_2.0
00425a20  0000637f R_MIPS_JUMP_SLOT  00000000   cJSON_IsBool
00425a24  0000647f R_MIPS_JUMP_SLOT  00000000   sigemptyset@GLIBC_2.0
00425a28  0000657f R_MIPS_JUMP_SLOT  00000000   popen@GLIBC_2.2
00425a2c  0000667f R_MIPS_JUMP_SLOT  00000000   readdir@GLIBC_2.0
00425a30  0000677f R_MIPS_JUMP_SLOT  00000000   listen@GLIBC_2.0
00425a34  0000697f R_MIPS_JUMP_SLOT  004156b0   symlink@GLIBC_2.0
00425a38  00006a7f R_MIPS_JUMP_SLOT  00000000   sem_unlink@GLIBC_2.2
00425a3c  00006b7f R_MIPS_JUMP_SLOT  00000000   fclose@GLIBC_2.2
00425a40  00006c7f R_MIPS_JUMP_SLOT  00000000   ftok@GLIBC_2.0
00425a44  00006d7f R_MIPS_JUMP_SLOT  00000000   timerfd_settime@GLIBC_2.8
00425a48  00006e7f R_MIPS_JUMP_SLOT  00000000   sprintf@GLIBC_2.0
00425a4c  00006f7f R_MIPS_JUMP_SLOT  00000000   remove@GLIBC_2.0
00425a50  0000707f R_MIPS_JUMP_SLOT  00000000   msgget@GLIBC_2.0
00425a54  0000717f R_MIPS_JUMP_SLOT  00000000   cJSON_IsArray
00425a58  0000727f R_MIPS_JUMP_SLOT  00000000   socket@GLIBC_2.0
00425a5c  0000737f R_MIPS_JUMP_SLOT  00000000   clock_gettime@GLIBC_2.2
00425a60  0000757f R_MIPS_JUMP_SLOT  00000000   __lxstat@GLIBC_2.0
00425a64  0000767f R_MIPS_JUMP_SLOT  00000000   sigaction@GLIBC_2.0
00425a68  0000777f R_MIPS_JUMP_SLOT  00000000   cJSON_IsString
00425a6c  0000797f R_MIPS_JUMP_SLOT  00000000   cJSON_IsObject
00425a70  00007a7f R_MIPS_JUMP_SLOT  00000000   strncmp@GLIBC_2.0
00425a74  00007b7f R_MIPS_JUMP_SLOT  00000000   getrusage@GLIBC_2.0
00425a78  00007c7f R_MIPS_JUMP_SLOT  00000000   chmod@GLIBC_2.0
00425a7c  00007d7f R_MIPS_JUMP_SLOT  00000000   pthread_attr_setd[...]@GLIBC_2.0
00425a80  00007e7f R_MIPS_JUMP_SLOT  00000000   msgsnd@GLIBC_2.0
