0x004336dc   41 1668         dbg.history_get_job
0x00433d60   14 924          dbg.history_del_job
0x004340fc   27 1436         dbg.history_del_all_jobs
0x00434698   33 1260         dbg.history_reset_total
0x00434f1c    4 476          dbg.job_totals_to_json
0x00439834   14 388          dbg._on_klippy_ready
0x004399b8    5 164          dbg._on_klippy_shutdown
0x00439a5c   21 636          dbg._on_job_state_changed
0x00439cd8   15 456          dbg.start_queue
0x00439ea0    8 264          dbg.pause_queue
0x0043a0d4   41 1800         dbg._handle_queue_job
0x0043a7dc    5 192          dbg._handle_queue_start
0x0043a89c    5 192          dbg._handle_queue_pause
0x0043a95c    5 148          dbg._handle_queue_status
0x0043a9f0   29 932          dbg._handle_queue_jump
0x004392c8    5 104          dbg._check_job_file
0x00438e24   21 520          dbg._send_queue_event
0x0043902c    6 140          dbg._set_queue_state
0x00438b90    3 160          dbg._job_map_to_list
0x00438e08    1 28           loc.00438e08
0x004696e0    1 104          sym.mg_xprintf
0x00469748  111 3308         sym.mg_vxprintf
0x004a0f80    1 16           fcn.004a0f80
0x004390b8   13 528          dbg._check_can_print
0x00439330   33 1004         dbg.pop_job_thread
0x0043971c    5 152          dbg._pop_job
0x004397b4    1 64           dbg._pop_job_not_transition
0x004397f4    1 64           dbg._pop_job_transition
0x00439fa8    8 300          dbg._get_queue_state
0x0043b6f8   29 1076         dbg._on_klippy_started
0x0043bb2c    8 276          dbg._on_klippy_disconnect
0x0043b3ac   16 312          dbg.job_event_from_string
0x0043b4e4   17 532          dbg._check_resumed
0x0043bc40   69 2476         dbg._status_update
0x00440b84   13 392          dbg.websocket_close_handler
0x00441b54    5 256          dbg.klippy_request_free
0x0044051c    1 52           dbg.klippy_send_callback
0x0043f1a0   11 352          dbg._process_gcode_response
0x0043f300   96 3196         dbg._process_status_update
0x00440550    5 164          dbg.klippy_connect_callback
0x0043ff7c   37 1440         dbg.klippy_recv_callback
0x004405f4   21 720          dbg.klippy_disconnect_callback
0x00440d0c  100 3656         dbg.klippy_request_create
0x00443354    7 368          dbg.klippy_request_send
0x004434c4   18 588          dbg.klippy_request_wait
0x0043ddf0   25 760          dbg.klippy_save_path_info
0x0043e0e8   31 912          dbg.klippy_request_endpoints
0x004408c4   21 704          dbg._handle_klippy_request
0x0043e478   16 612          dbg.klippy_request_initial_subscriptions
0x0043e6dc   67 2392         dbg.klippy_check_ready
0x0043f034   12 364          dbg.klippy_init_connection
0x00441c54  178 5532         dbg.klippy_request_set_result
0x004431f0    8 356          dbg.klippy_request_set_exception
0x00445100   13 408          dbg.klippy_gcode_start
0x00445298    5 284          dbg.klippy_gcode_pause
0x004453b4    5 284          dbg.klippy_gcode_resume
0x004454d0    5 284          dbg.klippy_gcode_cancel
0x004455ec    5 200          dbg.klippy_gcode_restart
0x004456b4    5 200          dbg.klippy_gcode_firmware_restart
0x004462dc   36 916          dbg._init_allowed_services
0x0044868c   15 484          dbg.machine_update_system_info
0x00448870   19 588          dbg._handle_machine_request
0x00448abc   38 1140         dbg._handle_service_request
0x00448f30   19 712          dbg._handle_sysinfo_request
0x00446fb8    1 72           dbg._parse_network_interfaces_no_notify
