[Strings]
nth  paddr      vaddr      len size section type    string
586  0x000935a4 0x004935a4 5   6    .rodata ascii   .jpeg
587  0x000935ac 0x004935ac 10  11   .rodata ascii   image/jpeg
588  0x000935b8 0x004935b8 4   5    .rodata ascii   .png
589  0x000935c0 0x004935c0 9   10   .rodata ascii   image/png
590  0x000935cc 0x004935cc 4   5    .rodata ascii   .gif
591  0x000935d4 0x004935d4 9   10   .rodata ascii   image/gif
592  0x000935e0 0x004935e0 4   5    .rodata ascii   .pdf
593  0x000935e8 0x004935e8 15  16   .rodata ascii   application/pdf
594  0x000935f8 0x004935f8 24  25   .rodata ascii   application/octet-stream
595  0x00093614 0x00493614 4   5    .rodata ascii   .zip
596  0x0009361c 0x0049361c 15  16   .rodata ascii   application/zip
597  0x0009362c 0x0049362c 4   5    .rodata ascii   .exe
598  0x00093634 0x00493634 5   6    .rodata ascii   %08ld
599  0x0009363c 0x0049363c 6   7    .rodata ascii   .gcode
600  0x00093644 0x00493644 4   5    .rodata ascii   .ufp
601  0x0009364c 0x0049364c 34  35   .rodata ascii   ploadStat->dstPath, rename err. %s
602  0x00093670 0x00493670 35  36   .rodata ascii   get file info fail: %s, code ret:%d
603  0x00093694 0x00493694 45  46   .rodata ascii   "print_started": false, "print_queued": false
604  0x000936c4 0x004936c4 9   10   .rodata ascii   job_queue
605  0x000936d0 0x004936d0 10  11   .rodata ascii   klippy_api
606  0x000936dc 0x004936dc 44  45   .rodata ascii   "print_started": true, "print_queued": false
607  0x0009370c 0x0049370c 44  45   .rodata ascii   "print_started": false, "print_queued": true
608  0x0009373c 0x0049373c 37  38   .rodata ascii   File is loaded, upload not permitted.
609  0x00093764 0x00493764 25  26   .rodata ascii   process_uploaded_file err
610  0x00093780 0x00493780 20  21   .rodata ascii   Unable to save file.
611  0x00093798 0x00493798 25  26   .rodata ascii   Memory allocation failed.
612  0x000937b4 0x004937b4 20  21   .rodata ascii   parse metadata fail.
613  0x000937cc 0x004937cc 242 243  .rodata ascii   Connection: keep-alive\r\ncontent-type: application/json; charset=UTF-8\r\nAccess-Control-Allow-Origin: *\r\nAccess-Control-Allow-Methods: *\r\nAccess-Control-Allow-Headers: *\r\nAccess-Control-Allow-Credentials: true\r\nAccess-Control-Max-Age: 1728000\r\n
614  0x000938c0 0x004938c0 8   9    .rodata ascii   checksum
615  0x000938cc 0x004938cc 18  19   .rodata ascii   sha256_hex_hash %s
616  0x000938e0 0x004938e0 106 107  .rodata ascii   {"heads":"%s", "error":{"code":%ld, "message":"File checksum mismatch: expected {%.*s}, calculated {%s}"}}
617  0x0009394c 0x0049394c 4   5    .rodata ascii   root
618  0x00093954 0x00493954 76  77   .rodata ascii   {"heads":"%s", "error":{"code":%ld, "message":"Invalid root request: %.*s"}}
619  0x000939a4 0x004939a4 79  80   .rodata ascii   {"heads":"%s", "error":{"code":%ld, "message":"Operation Not Supported: %.*s"}}
620  0x000939f4 0x004939f4 42  43   .rodata ascii   Failed to get root path from configuration
621  0x00093a20 0x00493a20 8   9    .rodata ascii   root: %s
622  0x00093a2c 0x00493a2c 4   5    .rodata ascii   path
623  0x00093a34 0x00493a34 11  12   .rodata ascii   relPath: %s
624  0x00093a40 0x00493a40 5   6    .rodata ascii   print
625  0x00093a48 0x00493a48 4   5    .rodata ascii   true
626  0x00093a50 0x00493a50 4   5    .rodata ascii   file
627  0x00093a58 0x00493a58 12  13   .rodata ascii   tmp path: %s
628  0x00093a68 0x00493a68 12  13   .rodata ascii   dst path: %s
629  0x00093a78 0x00493a78 44  45   .rodata ascii   Write file size is not equal to receive size
630  0x00093aa8 0x00493aa8 21  22   .rodata ascii   Unsafe path requested
631  0x00093ac0 0x00493ac0 26  27   .rodata ascii   Failed to create directory
632  0x00093adc 0x00493adc 13  14   .rodata ascii   upload err %s
633  0x00093aec 0x00493aec 52  53   .rodata ascii   {"heads":"%s", "error":{"code":%ld, "message":"%s"}}
634  0x00093b24 0x00493b24 14  15   .rodata ascii   rename err: %s
635  0x00093b34 0x00493b34 66  67   .rodata ascii   {"heads":"%s", "error":{"code":%ld, "message":"upload file fail"}}
636  0x00093b78 0x00493b78 34  35   .rodata ascii   upload file fail, file rename fail
637  0x00093b9c 0x00493b9c 84  85   .rodata ascii   {"heads":"%s", "error":{"code":%ld, "message":"upload file fail, file rename fail"}}
638  0x00093bf4 0x00493bf4 31  32   .rodata ascii   upload file fail, other because
639  0x00093c14 0x00493c14 81  82   .rodata ascii   {"heads":"%s", "error":{"code":%ld, "message":"upload file fail, other because"}}
640  0x00093c68 0x00493c68 120 121  .rodata ascii   {"action": "create_file","item": {"modified": %lu.%06lu,"size": %ld,"permissions": "%s","path": "%s","root": "%s"}, %s }
641  0x00093ce4 0x00493ce4 116 117  .rodata ascii   {"action": "create_file","item": {"modified": %lu.%06lu,"size": %ld,"permissions": "%s","path": "%s","root": "%s"} }
642  0x00093d5c 0x00493d5c 39  40   .rodata ascii   {"heads":"%s", "code":%ld, "result":%s}
643  0x00093d84 0x00493d84 83  84   .rodata ascii   {"heads":"%s", "error":{"code":%ld, "message":"Forbidden: Unsafe path requested."}}
644  0x00093dd8 0x00493dd8 32  33   .rodata ascii   Failed to wake up connection %lu
645  0x00093dfc 0x00493dfc 14  15   .rodata ascii   Mutex is busy!
646  0x00093e0c 0x00493e0c 12  13   .rodata ascii   %s: start!!!
647  0x00093e1c 0x00493e1c 14  15   .rodata ascii   %s: finish!!!\n
648  0x00093e2c 0x00493e2c 11  12   .rodata ascii   point==NULL
649  0x00093e38 0x00493e38 18  19   .rodata ascii   upload_deal_thread
650  0x00093e4c 0x00493e4c 23  24   .rodata ascii   Failed to detach thread
651  0x00093e64 0x00493e64 32  33   .rodata ascii   allocate memory failed. s.len:%d
652  0x00093e88 0x00493e88 25  26   .rodata ascii   id: %ld, expected len:%ld
653  0x00093ea4 0x00493ea4 38  39   .rodata ascii   id: %ld, %ld = received:%ld + recv:%ld
654  0x00093ecc 0x00493ecc 15  16   .rodata ascii   org lastlen:%ld
655  0x00093edc 0x00493edc 24  25   .rodata ascii   id: %ld, add lastlen:%ld
656  0x00093ef8 0x00493ef8 24  25   .rodata ascii   #--#Content-Disposition#
657  0x00093f14 0x00493f14 38  39   .rodata ascii   Failed to allocate memory for boundary
658  0x00093f3c 0x00493f3c 79  80   .rodata ascii   id: %ld, Chunk name: [%.*s],filename: [%.*s],body<length: %lu bytes, data:%.*s>
659  0x00093f8c 0x00493f8c 10  11   .rodata ascii   \r\n%.*s--\r\n
660  0x00093f98 0x00493f98 42  43   .rodata ascii   Error writing to file real:%ld, except:%ld
661  0x00093fc4 0x00493fc4 25  26   .rodata ascii   upload file fflush failed
662  0x00093fe0 0x00493fe0 10  11   .rodata ascii   mmap error
663  0x00093fec 0x00493fec 195 196  .rodata ascii   Connection: keep-alive\r\nAccess-Control-Allow-Origin: *\r\nAccess-Control-Allow-Methods: *\r\nAccess-Control-Allow-Headers: *\r\nAccess-Control-Allow-Credentials: true\r\nAccess-Control-Max-Age: 1728000\r\n
664  0x000940b0 0x004940b0 28  29   .rodata ascii   upload is error, not allowed
665  0x000940d0 0x004940d0 28  29   .rodata ascii   upload is error, malloc fail
666  0x000940f0 0x004940f0 47  48   .rodata ascii   The printer is printing and cannot upload files
667  0x00094120 0x00494120 13  14   .rodata ascii   upload failed
668  0x00094130 0x00494130 12  13   .rodata ascii   rx data fail
669  0x00094140 0x00494140 28  29   .rodata ascii   uploads_pack_rx err, ret:%ld
670  0x00094160 0x00494160 4   5    .rodata ascii   POST
671  0x00094168 0x00494168 20  21   .rodata ascii   /server/files/upload
672  0x00094180 0x00494180 20  21   .rodata ascii   upload request id:%d
673  0x00094198 0x00494198 40  41   .rodata ascii   upload err, dict is exsist of connection
674  0x000941c4 0x004941c4 35  36   .rodata ascii   .uploadtmp/upload-tmp-%Y%m%d-%H%M%S
675  0x000941e8 0x004941e8 40  41   .rodata ascii   Failed to tmp file path failed to upload
676  0x00094218 0x00494218 10  11   .rodata ascii   creat fail
677  0x00094224 0x00494224 20  21   .rodata ascii   mg_path_is_sane fail
678  0x0009423c 0x0049423c 29  30   .rodata ascii   %s: uploads rx free, id:%ld \n
679  0x0009425c 0x0049425c 10  11   .rodata ascii   .uploadtmp
680  0x00094268 0x00494268 15  16   .rodata ascii   /server/files/#
681  0x00094280 0x00494280 33  34   .rodata ascii   Forbidden: Unsafe path requested.
682  0x000942a4 0x004942a4 26  27   .rodata ascii   Content-Type: text/plain\r\n
683  0x000942c0 0x004942c0 14  15   .rodata ascii   rootName: %.*s
684  0x000942d0 0x004942d0 14  15   .rodata ascii   relaPath: %.*s
685  0x000942e0 0x004942e0 12  13   .rodata ascii   octet-stream
686  0x000942f0 0x004942f0 10  11   .rodata ascii   attachment
687  0x000942fc 0x004942fc 6   7    .rodata ascii   inline
688  0x00094304 0x00494304 18  19   .rodata ascii   content-type: %s\r\n
689  0x00094318 0x00494318 61  62   .rodata ascii   Content-Disposition: %s; filename="%s"; filename*=UTF-8''%s\r\n
690  0x0009435c 0x0049435c 4   5    .rodata ascii   %.*s
691  0x00094364 0x00494364 19  20   .rodata ascii   decode fullPath: %s
692  0x00094378 0x00494378 14  15   .rodata ascii   File not found
693  0x00094388 0x00494388 8   9    .rodata ascii   head :%s
694  0x00094394 0x00494394 15  16   .rodata ascii   thumbs_list_max
695  0x000943a4 0x004943a4 25  26   .rodata ascii   get sort path item failed
696  0x000943c0 0x004943c0 19  20   .rodata ascii   udisk_node count %d
697  0x000943d4 0x004943d4 4   5    .rodata ascii   %.6f
698  0x000943dc 0x004943dc 107 108  .rodata ascii   {"action": "create_dir", "item": {"path":"%s", "root":"%s", "modified":%s, "size":%ld, "permissions":"%s"}}
699  0x0009444c 0x0049444c 13  14   .rodata ascii   udisk_changed
700  0x0009445c 0x0049445c 30  31   .rodata ascii   Failed to get stat info for %s
701  0x0009447c 0x0049447c 28  29   .rodata ascii   FileOpAPI or request is NULL
702  0x0009449c 0x0049449c 14  15   .rodata ascii   Server is NULL
703  0x000944ac 0x004944ac 6   7    .rodata ascii   $.root
704  0x000944b4 0x004944b4 17  18   .rodata ascii   Invalid root path
705  0x000944c8 0x004944c8 14  15   .rodata ascii   Invalid memory
706  0x000944d8 0x004944d8 17  18   .rodata ascii   Invalid file list
707  0x000944f8 0x004944f8 68  69   .rodata ascii   th": "%s", "modified": %lu.%06lu, "size": %ld, "permissions": "%s"}\n
708  0x00094544 0x00494544 41  42   .rodata ascii   {"name":"%s","path":"","permissions":""}\n
709  0x00094570 0x00494570 45  46   .rodata ascii   {"name":"%s","path":"%s","permissions":"%s"}\n
710  0x000945a0 0x004945a0 8   9    .rodata ascii   $.params
711  0x000945ac 0x004945ac 24  25   .rodata ascii   No data for argument: %s
712  0x000945c8 0x004945c8 10  11   .rodata ascii   $.filename
713  0x000945d4 0x004945d4 30  31   .rodata ascii   Invalid path: gcodes root name
714  0x000945f4 0x004945f4 29  30   .rodata ascii   Metadata not available for <>
715  0x00094614 0x00494614 12  13   .rodata ascii   fullPath: %s
716  0x00094624 0x00494624 34  35   .rodata ascii   File path not available for <%.*s>
717  0x00094648 0x00494648 12  13   .rodata ascii   relaPath: %s
718  0x00094658 0x00494658 18  19   .rodata ascii   "filename": "%.*s"
719  0x0009466c 0x0049466c 5   6    .rodata ascii   ,%.*s
720  0x00094674 0x00494674 33  34   .rodata ascii   Metadata not available for <%.*s>
721  0x00094698 0x00494698 32  33   .rodata ascii   get directory ex process waiting
722  0x000946bc 0x004946bc 26  27   .rodata ascii   File '%.*s' does not exist
723  0x000946d8 0x004946d8 37  38   .rodata ascii   File '%.*s' is not a valid gcode file
724  0x00094700 0x00494700 40  41   .rodata ascii   Failed to parse metadata for file '%.*s'
725  0x0009472c 0x0049472c 10  11   .rodata ascii   thumbnails
726  0x00094738 0x00494738 13  14   .rodata ascii   relative_path
727  0x00094748 0x00494748 14  15   .rodata ascii   thumbnail_path
728  0x0009475c 0x0049475c 17  18   .rodata ascii   Error before: %s\n
729  0x00094770 0x00494770 6   7    .rodata ascii   $.path
730  0x00094778 0x00494778 24  25   .rodata ascii   Invalid root path (%.*s)
731  0x00094794 0x00494794 22  23   .rodata ascii   Invalid root path (%s)
732  0x000947ac 0x004947ac 21  22   .rodata ascii   Invalid root path (.)
733  0x000947c4 0x004947c4 14  15   .rodata ascii   input Path: %s
734  0x000947d4 0x004947d4 29  30   .rodata ascii   Directory does not exist (%s)
735  0x000947f4 0x004947f4 10  11   .rodata ascii   $.extended
736  0x00094800 0x00494800 17  18   .rodata ascii   request fail (%s)
737  0x00094814 0x00494814 5   6    .rodata ascii   false
738  0x0009481c 0x0049481c 75  76   .rodata ascii   Unable to convert argument [extended] to <class 'bool'>: value recieved: %s
739  0x00094868 0x00494868 8   9    .rodata ascii   "dirs":[
740  0x00094874 0x00494874 23  24   .rodata ascii   Failed to get file info
741  0x0009488c 0x0049488c 67  68   .rodata ascii   {"modified":%lu.%06lu,"size":%ld,"permissions":"%s","dirname":"%s"}
742  0x000948d4 0x004948d4 9   10   .rodata ascii   "files":[
743  0x000948e0 0x004948e0 35  36   .rodata ascii   "permissions":"%s","filename":"%s",
744  0x00094904 0x00494904 5   6    .rodata ascii   %.*s}
745  0x0009490c 0x0049490c 67  68   .rodata ascii   "modified":%lu.%06lu,"size":%ld,"permissions":"%s","filename":"%s"}
746  0x00094950 0x00494950 52  53   .rodata ascii   "disk_usage":{"total":%llu,"used":%llu,"free":%llu},
747  0x00094988 0x00494988 46  47   .rodata ascii   "root_info":{"name":"%.*s","permissions":"%s"}
748  0x000949b8 0x004949b8 35  36   .rodata ascii   [Errno 17] File exists: '%s/gcodes'
749  0x000949dc 0x004949dc 23  24   .rodata ascii   Operation Not Supported
750  0x000949f4 0x004949f4 12  13   .rodata ascii   Invalid dest
751  0x00094a04 0x00494a04 13  14   .rodata ascii   full path: %s
752  0x00094a14 0x00494a14 28  29   .rodata ascii   [Errno 17] File exists: '%s'
753  0x00094a34 0x00494a34 116 117  .rodata ascii   {"action": "create_dir", "item": {"path":"%s", "root":"%.*s", "modified":%lu.%06lu, "size":%ld, "permissions":"%s"}}
754  0x00094aac 0x00494aac 29  30   .rodata ascii   Cannot delete root directory.
755  0x00094acc 0x00494acc 28  29   .rodata ascii   Cannot delete root directory
756  0x00094aec 0x00494aec 7   8    .rodata ascii   $.force
757  0x00094af4 0x00494af4 72  73   .rodata ascii   Unable to convert argument [force] to <class 'bool'>: value recieved: %s
758  0x00094b40 0x00494b40 30  31   .rodata ascii   Directory file job working: %s
759  0x00094b60 0x00494b60 36  37   .rodata ascii   [Errno 93] Directory not empty: '%s'
760  0x00094b88 0x00494b88 28  29   .rodata ascii   Error deleting directory: %s
761  0x00094ba8 0x00494ba8 108 109  .rodata ascii   {"action": "delete_dir", "item": {"path":"%s", "root":"%.*s", "modified":0, "size":%ld, "permissions":"%s"}}
762  0x00094c18 0x00494c18 26  27   .rodata ascii   files copy process waiting
763  0x00094c34 0x00494c34 6   7    .rodata ascii   source
764  0x00094c3c 0x00494c3c 8   9    .rodata ascii   $.source
765  0x00094c48 0x00494c48 28  29   .rodata ascii   No data for argument: source
766  0x00094c68 0x00494c68 43  44   .rodata ascii   Source path is read-only, cannot move: {%s}
767  0x00094c94 0x00494c94 15  16   .rodata ascii   source path: %s
768  0x00094ca4 0x00494ca4 6   7    .rodata ascii   $.dest
769  0x00094cac 0x00494cac 26  27   .rodata ascii   No data for argument: dest
770  0x00094cc8 0x00494cc8 4   5    .rodata ascii   dest
771  0x00094cd0 0x00494cd0 13  14   .rodata ascii   dest path: %s
772  0x00094ce0 0x00494ce0 41  42   .rodata ascii   [Errno 2] No such file or directory: '%s'
773  0x00094d0c 0x00494d0c 22  23   .rodata ascii   File %s does not exist
774  0x00094d24 0x00494d24 35  36   .rodata ascii   Destination path'%s' already exists
775  0x00094d48 0x00494d48 21  22   .rodata ascii   "action": "move_dir",
776  0x00094d60 0x00494d60 22  23   .rodata ascii   "action": "move_file",
777  0x00094d78 0x00494d78 90  91   .rodata ascii   "item":{"modified":%lu.%06lu, "size":%ld, "permissions":"%s", "path":"%s", "root":"%.*s"},
778  0x00094dd4 0x00494dd4 42  43   .rodata ascii   "source_item":{"path":"%s", "root":"%.*s"}
779  0x00094e00 0x00494e00 17  18   .rodata ascii   File exists: '%s'
780  0x00094e14 0x00494e14 34  35   .rodata ascii   Failed to create a directory: '%s'
781  0x00094e38 0x00494e38 37  38   .rodata ascii   Error copying directory from %s to %s
782  0x00094e60 0x00494e60 12  13   .rodata ascii   %s copy fail
783  0x00094e70 0x00494e70 32  33   .rodata ascii   Error copying file from %s to %s
784  0x00094e94 0x00494e94 23  24   .rodata ascii   "action": "create_dir",
785  0x00094eac 0x00494eac 24  25   .rodata ascii   "action": "modify_file",
786  0x00094ec8 0x00494ec8 24  25   .rodata ascii   "action": "create_file",
787  0x00094ee4 0x00494ee4 90  91   .rodata ascii   "item":{"modified":%lu.%06lu, "size":%ld, "permissions":"%s", "path":"%s", "root":"%.*s" }
788  0x00094f40 0x00494f40 30  31   .rodata ascii   Cannot compress while printing
789  0x00094f60 0x00494f60 5   6    .rodata ascii   items
790  0x00094f68 0x00494f68 6   7    .rodata ascii   params
791  0x00094f70 0x00494f70 28  29   .rodata ascii   No data for argument: params
792  0x00094f90 0x00494f90 27  28   .rodata ascii   No data for argument: items
793  0x00094fac 0x00494fac 10  11   .rodata ascii   store_only
794  0x00094fb8 0x00494fb8 77  78   .rodata ascii   Unable to convert argument [store_only] to <class 'bool'>: value recieved: %s
795  0x00095008 0x00495008 80  81   .rodata ascii   Unable to convert argument [store_only] to <class 'bool'>: value recieved: %0.7f
796  0x0009505c 0x0049505c 78  79   .rodata ascii   Unable to convert argument [store_only] to <class 'bool'>: value recieved: %ld
797  0x000950ac 0x004950ac 35  36   .rodata ascii   config/collection-%Y%m%d-%H%M%S.zip
798  0x000950d0 0x004950d0 25  26   .rodata ascii   Invalid root path (%0.7f)
799  0x000950ec 0x004950ec 23  24   .rodata ascii   Invalid root path (%ld)
800  0x00095104 0x00495104 22  23   .rodata ascii   Invalid root path(% s)
801  0x0009511c 0x0049511c 10  11   .rodata ascii   system err
802  0x00095128 0x00495128 59  60   .rodata ascii   Cannot create archive at '%s'.  Path exists as a directory.
803  0x00095164 0x00495164 64  65   .rodata ascii   Cannot create archive at '%s'.  Parent directory does not exist.
804  0x000951a8 0x004951a8 48  49   .rodata ascii   At least one file or directory must be specified
805  0x000951dc 0x004951dc 80  81   .rodata ascii   Invalid value received for argument 'items'.  Expected List type, received float
806  0x00095230 0x00495230 78  79   .rodata ascii   Invalid value received for argument 'items'.  Expected List type, received int
807  0x00095280 0x00495280 4   5    .rodata ascii   item
808  0x00095288 0x00495288 26  27   .rodata ascii   No data for argument: item
809  0x000952a4 0x004952a4 31  32   .rodata ascii   No file/directory exits at '%s'
810  0x000952c4 0x004952c4 14  15   .rodata ascii   files path: %s
811  0x000952d4 0x004952d4 25  26   .rodata ascii   alloc memory fail at '%s'
812  0x000952f0 0x004952f0 50  51   .rodata ascii   zip failure directory may not have files at '%.*s'
813  0x00095324 0x00495324 22  23   .rodata ascii   "action": "zip_files",
814  0x0009533c 0x0049533c 99  100  .rodata ascii   "destination":{"modified":%lu.%06lu, "size":%ld, "permissions":"%s", "path":"%.*s", "root":"%.*s" }
815  0x000953a0 0x004953a0 19  20   .rodata ascii   zip process waiting
816  0x000953b4 0x004953b4 26  27   .rodata ascii   No data for argument: path
817  0x000953d0 0x004953d0 18  19   .rodata ascii   File %s job using"
818  0x000953e4 0x004953e4 23  24   .rodata ascii   Invalid file path: %.*s
819  0x000953fc 0x004953fc 23  24   .rodata ascii   Invalid file path: {%s}
820  0x00095414 0x00495414 19  20   .rodata ascii   File %s delete fail
821  0x00095428 0x00495428 24  25   .rodata ascii   "action": "delete_file",
822  0x00095444 0x00495444 82  83   .rodata ascii   "item": {"modified":0, "size":%ld, "permissions":"%s", "path":"%s", "root":"%.*s"}
823  0x00095498 0x00495498 17  18   .rodata ascii   Invalid parameter
824  0x000954ac 0x004954ac 24  25   .rodata ascii   get_directory_ex req: %s
825  0x000954c8 0x004954c8 7   8    .rodata ascii   $.limit
826  0x000954d0 0x004954d0 7   8    .rodata ascii   $.start
827  0x000954d8 0x004954d8 18  19   .rodata ascii   Invalid parameter.
828  0x000954ec 0x004954ec 7   8    .rodata ascii   $.order
829  0x000954f4 0x004954f4 4   5    .rodata ascii   size
830  0x000954fc 0x004954fc 8   9    .rodata ascii   datetime
831  0x00095508 0x00495508 4   5    .rodata ascii   desc
832  0x00095510 0x00495510 5   6    .rodata ascii   files
833  0x00095518 0x00495518 7   8    .rodata ascii   $.since
834  0x00095520 0x00495520 8   9    .rodata ascii   $.before
835  0x0009552c 0x0049552c 9   10   .rodata ascii   $.keyword
836  0x00095538 0x00495538 9   10   .rodata ascii   "items":[
837  0x00095544 0x00495544 25  26   .rodata ascii   get_sort_path_item failed
838  0x00095560 0x00495560 8   9    .rodata ascii   name: %s
839  0x0009556c 0x0049556c 72  73   .rodata ascii   {"type": "d","modified":%s,"size":%ld,"permissions":"%s","dirname":"%s"}
840  0x000955b8 0x004955b8 48  49   .rodata ascii   {"type": "f","permissions":"%s","filename":"%s",
841  0x000955ec 0x004955ec 73  74   .rodata ascii   {"type": "f","modified":%s,"size":%ld,"permissions":"%s","filename":"%s"}
842  0x00095638 0x00495638 9   10   .rodata ascii   count: %d
843  0x00095644 0x00495644 29  30   .rodata ascii   index: %d, start:%d, size:%d 
844  0x00095664 0x00495664 12  13   .rodata ascii   "count": %d,
845  0x00095674 0x00495674 59  60   .rodata ascii   "root_info":{"name":"%.*s", "path":"%s","permissions":"%s"}
846  0x000956b0 0x004956b0 15  16   .rodata ascii   Invalid server.
847  0x000956c0 0x004956c0 5   6    .rodata ascii   {%m:[
848  0x000956c8 0x004956c8 6   7    .rodata ascii   result
849  0x000956d4 0x004956d4 20  21   .rodata ascii   Invalid request type
850  0x000956ec 0x004956ec 31  32   .rodata ascii   Invalid root name or file name.
851  0x0009570c 0x0049570c 31  32   .rodata ascii   construction path error. ret:%d
852  0x0009572c 0x0049572c 17  18   .rodata ascii   Invalid file path
853  0x00095740 0x00495740 21  22   .rodata ascii   file no exits at '%s'
854  0x00095758 0x00495758 121 122  .rodata ascii   {"result":{"action": "delete_file","item": {"modified":0, "size":%ld, "permissions":"%s", "path":"%.*s", "root":"%.*s"}}}
855  0x000957d4 0x004957d4 6   7    .rodata ascii   DELETE
856  0x000957dc 0x004957dc 19  20   .rodata ascii   /server/files/roots
857  0x000957f0 0x004957f0 8   9    .rodata ascii   database
858  0x000957fc 0x004957fc 6   7    .rodata ascii   nexusp
859  0x00095804 0x00495804 18  19   .rodata ascii   $.metadata_version
860  0x00095818 0x00495818 24  25   .rodata ascii   {"metadata_version": %d}
861  0x00095834 0x00495834 29  30   .rodata ascii   database_post_item failed: %s
862  0x00095854 0x00495854 12  13   .rodata ascii   inotify_init
863  0x00095864 0x00495864 25  26   .rodata ascii   pthread_mutex_init failed
864  0x00095880 0x00495880 14  15   .rodata ascii   ponit is null.
865  0x00095890 0x00495890 26  27   .rodata ascii   path: %s, add watch wd: %d
866  0x000958ac 0x004958ac 13  14   .rodata ascii   malloc failed
867  0x000958bc 0x004958bc 13  14   .rodata ascii   strdup failed
868  0x000958cc 0x004958cc 43  44   .rodata ascii   point is null. path:0x%08x, pInotify:0x%08x
869  0x000958f8 0x004958f8 29  30   .rodata ascii   path: %s, remove watch wd: %d
870  0x0009591c 0x0049591c 17  18   .rodata ascii   /proc/self/mounts
871  0x00095930 0x00495930 5   6    .rodata ascii   fopen
872  0x00095938 0x00495938 16  17   .rodata ascii   pInotify is null
873  0x0009594c 0x0049594c 21  22   .rodata ascii   UDisk is not mounted.
874  0x00095964 0x00495964 13  14   .rodata ascii   pointis null.
875  0x00095974 0x00495974 6   7    .rodata ascii   .cache
876  0x0009597c 0x0049597c 4   5    .rodata ascii   .tmp
877  0x00095984 0x00495984 4   5    .rodata ascii   .swp
878  0x0009598c 0x0049598c 4   5    .rodata ascii   .swx
879  0x00095994 0x00495994 4   5    .rodata ascii   .swo
880  0x0009599c 0x0049599c 25  26   .rodata ascii   {"action": "delete_dir", 
881  0x000959b8 0x004959b8 25  26   .rodata ascii   {"action": "create_dir", 
882  0x000959d4 0x004959d4 82  83   .rodata ascii   "item": {"path":"%s", "root":"%s", "modified":%s, "size":%ld, "permissions":"%s"}}
883  0x00095a28 0x00495a28 16  17   .rodata ascii   filelist_changed
884  0x00095a3c 0x00495a3c 19  20   .rodata ascii   handle_mounts_task!
885  0x00095a50 0x00495a50 23  24   .rodata ascii   add watching succeeded.
886  0x00095a68 0x00495a68 26  27   .rodata ascii   remove watching succeeded.
887  0x00095a84 0x00495a84 26  27   .rodata ascii   handle_mounts_task! finish
888  0x00095aa0 0x00495aa0 43  44   .rodata ascii   Timer is running and cannot be reactivated!
889  0x00095acc 0x00495acc 15  16   .rodata ascii   Timer activated
890  0x00095adc 0x00495adc 25  26   .rodata ascii   dire add watch failed: %s
891  0x00095af8 0x00495af8 16  17   .rodata ascii   dire created: %s
892  0x00095b0c 0x00495b0c 16  17   .rodata ascii   dire deleted: %s
893  0x00095b20 0x00495b20 102 103  .rodata ascii   {"action": "delete_dir", "item": {"path":"%s", "root":"%s", "modified":0, "size":0, "permissions":""}}
894  0x00095b88 0x00495b88 19  20   .rodata ascii   dire moved from: %s
895  0x00095b9c 0x00495b9c 40  41   .rodata ascii   "source_item":{"root":"%s", "path":"%s"}
896  0x00095bc8 0x00495bc8 17  18   .rodata ascii   dire moved to: %s
897  0x00095bdc 0x00495bdc 109 110  .rodata ascii   {"action": "move_dir", "item": {"path":"%s", "root":"%s", "modified":%s, "size":%ld, "permissions":"%s"}, %s}
898  0x00095c4c 0x00495c4c 17  18   .rodata ascii   file_path is null
899  0x00095c60 0x00495c60 16  17   .rodata ascii   File created: %s
900  0x00095c74 0x00495c74 108 109  .rodata ascii   {"action": "create_file", "item": {"path":"%s", "root":"%s", "modified":%s, "size":%ld, "permissions":"%s"}}
901  0x00095ce4 0x00495ce4 16  17   .rodata ascii   File deleted: %s
902  0x00095cf8 0x00495cf8 105 106  .rodata ascii   {"action": "delete_file", "item": {"path":"%s", "root":"%s", "modified":0, "size":0, "permissions":"%s"}}
903  0x00095d64 0x00495d64 23  24   .rodata ascii   File attrib changed: %s
904  0x00095d7c 0x00495d7c 108 109  .rodata ascii   {"action": "modify_file", "item": {"path":"%s", "root":"%s", "modified":%s, "size":%ld, "permissions":"%s"}}
905  0x00095dec 0x00495dec 19  20   .rodata ascii   File moved from: %s
906  0x00095e00 0x00495e00 17  18   .rodata ascii   File moved to: %s
907  0x00095e14 0x00495e14 110 111  .rodata ascii   {"action": "move_file", "item": {"path":"%s", "root":"%s", "modified":%s, "size":%ld, "permissions":"%s"}, %s}
908  0x00095e84 0x00495e84 24  25   .rodata ascii   allocating memory failed
909  0x00095ea0 0x00495ea0 12  13   .rodata ascii   nexfile-main
910  0x00095eb0 0x00495eb0 7   18   .rodata utf8    线程名称：%s blocks=CJK Unified Ideographs,Halfwidth and Fullwidth Forms,Basic Latin
911  0x00095ec4 0x00495ec4 38  39   .rodata ascii   Failed to set up initial watches, %ld.
912  0x00095eec 0x00495eec 9   10   .rodata ascii   /block/sd
913  0x00095ef8 0x00495ef8 18  19   .rodata ascii   usb block path: %s
914  0x00095f0c 0x00495f0c 27  28   .rodata ascii   FileOp_api or pfdat is NULL
915  0x00095f28 0x00495f28 13  14   .rodata ascii   root_path: %s
916  0x00095f38 0x00495f38 19  20   .rodata ascii   pthread create fail
