[Strings]
nth  paddr      vaddr      len size section type    string
76   0x0008fda8 0x0048fda8 4   5    .rodata ascii   none
77   0x0008fdb0 0x0048fdb0 10  11   .rodata ascii   "%s":null,
78   0x0008fdbc 0x0048fdbc 8   9    .rodata ascii   "%s":"",
79   0x0008fdc8 0x0048fdc8 10  11   .rodata ascii   "%s":"%s",
80   0x0008fdd8 0x0048fdd8 8   9    .rodata ascii   "%s":{},
81   0x0008fde4 0x0048fde4 35  36   .rodata ascii   Memory allocation for result failed
82   0x0008fe08 0x0048fe08 32  33   .rodata ascii   Config is null or source is null
83   0x0008fe2c 0x0048fe2c 35  36   .rodata ascii   Memory allocation for source failed
84   0x0008fe50 0x0048fe50 8   9    .rodata ascii   "%.*s":{
85   0x0008fe5c 0x0048fe5c 7   8    .rodata ascii   "%.*s":
86   0x0008fe64 0x0048fe64 7   8    .rodata ascii   "%.*s",
87   0x0008fe78 0x0048fe78 29  30   .rodata ascii   "filename":"%s","sections": [
88   0x0008fe98 0x0048fe98 6   7    .rodata ascii   {%.*s}
89   0x0008fea0 0x0048fea0 21  22   .rodata ascii   Mutex pointer is NULL
90   0x0008feb8 0x0048feb8 122 123  .rodata ascii   /var/jenkins_home/workspace/IngenicX2600-security-build/integrated_platform/creality/output/build/nexusprime/src/logging.c
91   0x0008ff34 0x0048ff34 21  22   .rodata ascii   Invalid log level: %d
92   0x0008ff4c 0x0048ff4c 50  51   .rodata ascii   Log file path not provided; skipping file logging.
93   0x0008ff84 0x0048ff84 30  31   .rodata ascii   %s Failed to open log file: %s
94   0x0008ffa8 0x0048ffa8 5   6    .rodata ascii   %s/%s
95   0x0008ffb0 0x0048ffb0 10  11   .rodata ascii   gzip -f %s
96   0x0008ffbc 0x0048ffbc 15  16   .rodata ascii   %Y-%m-%d_%H%M%S
97   0x0008ffcc 0x0048ffcc 5   6    .rodata ascii   %s_%s
98   0x0008ffe0 0x0048ffe0 30  31   .rodata ascii   Received signal %d, exiting...
99   0x00090000 0x00490000 119 120  .rodata ascii   /var/jenkins_home/workspace/IngenicX2600-security-build/integrated_platform/creality/output/build/nexusprime/src/main.c
100  0x00090078 0x00490078 38  39   .rodata ascii   Failed to parse command line arguments
101  0x000900a0 0x004900a0 8   9    .rodata ascii   log_path
102  0x000900ac 0x004900ac 9   10   .rodata ascii   log_level
103  0x000900b8 0x004900b8 28  29   .rodata ascii   Failed to initialize logging
104  0x000900d8 0x004900d8 11  12   .rodata ascii   nexusp-main
105  0x000900e4 0x004900e4 7   18   .rodata utf8    线程名称：%s blocks=CJK Unified Ideographs,Halfwidth and Fullwidth Forms,Basic Latin
106  0x000900f8 0x004900f8 28  29   .rodata ascii   Server initialization failed
107  0x00090118 0x00490118 17  18   .rodata ascii   Server run failed
108  0x0009012c 0x0049012c 488 489  .rodata ascii   %s v.%s\nUsage: %s [OPTIONS] [ARGS...]\n  -d, --datapath PATH       Set the data path\n  -c, --configfile PATH     Set the configuration file path\n  -l, --logfile PATH        Set the log file path\n  -u, --unixsocket PATH     Set the unix domain socket path\n  -n, --nolog               Disable logging\n  -g, --debug LEVEL         Set debug level (0-5)\n  -h, --help                Show this help message and exit\n\nExamples:\n  ./%s -d /data/path -c /config/path -l /log/path -g 3\n  ./%s --help\n
109  0x00090318 0x00490318 6   7    .rodata ascii   nexusp
